,morph
55,"['창립', '혁신', '레', '비즈니스', '개념', '업계', '최초', '도입', '정수기', '공기', '청정기', '비데', '등', '환경', '가전', '제품', '생산', '판매', '환경', '가전', '전문', '기업', '정수', '공기', '청정기', '비데', '연수기', '매트리스', '의류', '청정기', '전기레인지', '등', '레', '제품', '지속', '확대', '말레이시아', '미국', '중국', '태국', '인도네시아', '베트남', '동종', '업종', '영위', '해외', '법인', 'Line', 'up']"
56,"['기업', '분할', '식품', '생명', '공학', '집중', '사업', '회사', '출발', '국내', '식품', '회사', '위치', '급', '소비자', '트렌드', '프리미엄', '화', '전략', '적극', '추진', '맛', '품질', '브랜드', '파워', '노력', '중임', '육상', '해상', '등', '분야', '전국 네트워크', '구축', '운송', '합리', '추진', '물류', '품질', '질', '향상', '서비스', '극대', '중점', 'CJ']"
57,"['지배', '회사', '연결', '종속', '회사', '당', '분기', '말', '철강', '영업', '부문', '판', '재', '봉형강', '중', '기계', '등', '기타', '영업', '부문', '제품', '부산물', '등', '영위', '고로', '부문', '현대', '자동차', '그룹', '공동', '연구개발', '진행', '한편', '현대', '하', '이스코', '냉연', '사업', '부문', '분할', '합병', '자동차', '강판', '특화', '전문', '기업', '변모', '매출', '판', '봉형강', '강관', '등']"
58,"['동사', '토목', '건축', '공사', '사업', '목적', '유가증권', '시장', '주식', '상장', '현대', '엔지니어링', '등', '종속', '회사', '지배', '회사', '연결', '대상', '종속', '회사', '포함', '회사', '영위', '사업', '부문', '토목', '부문', '건축', '주택', '부문', '플랜트', '부문', '기타', '부문', '우리나라', '원전', '대부분', '시공', '원전', '시공', '기술', '자립', '달성', '국내', '최초', '원전', '수주', '최고', '원전', '시공', '기술', 'UAE']"
59,"['금융', '투자', '업', '영위', '상품', '제조', '트레이딩', '역량', '등', '부분', '경쟁력', '증권사', '미래에셋증권', '최대주주', '변경', '미래에셋증권', '사명', '변경', '동사', '네이버', '파이낸셜', '주식회사', '지분', '취득', '등', '네이버', '디지털', '금융', '비지니스', '공동', '추진', '보통주', '주식', '소각', '주식', '소각']"
60,"['동사', '설립', '한국거래소', '유가증권', '시장', '상장', '합성', '고무', '합성수지', '정밀화학', '전자', '소재', '건', '자재', '에너지', '페놀', '유도체', '항만', '운영', '등', '사업', '영위', '합성', '고무', '산업', '천연', '고무', '성상', '합성', '무상', '물질', '무상', '탄성체', '수', '소성', '물질', '합성', '고무', '이용', '타이어', '신발', '등', '주', '원료', '생산', '사업']"
61,"['동사', '타이어', '제조', '판매', '등', '타이어', '부문', '타이어', '제외', '일반', '기계', '금형', '제조', '판매', '기타', '사업', '부문', '구성', '기업', '동사', '시장', '점유', '국내', '파악', '점유', '점', '시장', '형성', '본사', '거점', '한국', '미주', '구주', '중국', '지역', '본부', '타이어', '생산', '공장', 'Global', 'Tire']"
62,"['동사', '세계', '플랜트', '시장', '사업', '전개', '글로벌', '설계', '구매', '시공', '전문', '기업', '설립', '유가증권', '시장', '상장', '산업', '환경', '그룹', '물량', '지속', '발주', '해외', '수', '처리', '바이오', '시장', '성장', '확대', '전망', '동남아', '등', '저개발', '국가', '중심', '기초', '산업', '플랜트', '위주', '발주', '예상', '수요', '확대', 'EPC']"
63,"['인적', '분할', '설립', '음식료품', '제조', '가공', '판매', '사업', '사업', '영위', '국내', '시장', '초코파이', '위시', '파이', '제품', '포', '카', '칩', '오징어', '땅콩', '등', '안정', '실적', '바탕', '신제품', '출시', '성공', '시장', '지배력', '해외', '시장', '중국', '시장', '중심', '성장', '소매점', '판매', '강화', '지역', '채널', '망', '확장']"
64,"['동사', '별도', '사업', '영위', '순수', '지주회사', '성격', '신속', '전문', '의사', '결정', '체제', '확립', '선박', '엔진', '사업', '정유', '사업', '건설기계', '제조', '사업', '전기', '전자', '기기', '제조', '사업', '산업용 로봇', '제조업', '등', '영위', '자회사', '주식', '소유', '회사', '지배', '것', '목적', '지배', '자회사', '배당금', '수입원', 'A', 'S']"
65,"['설립', '금융', '투자', '자산운용', '저축', '은행', '벤처', '투자', '여신', '전문업', '헤지펀드', '운용', '등', '금융업', '전반', '영역', '상품', '서비스', '제공', '동사', '한국', '투자', '증권', '한국', '투자', '저축', '은행', '한국', '투자', '피탈', '한국', '투자', '부동산', '등', '투자', '금융', '계열사', '자회사', '동사', '자회사', '한국', '카카오', '은행', '지분', '일부', '카카오', '매각', '은행', '금융', '지주회사', '전환', 'PEF']"
66,"['동사', '스마트폰', '텔레비젼', '등', '전자제품', '리튬', '이온', '음', '극', '집', '전체', '사용', '일렉포일', '제조', '판매', '목적', '설립', '동사', '판매', '중', '리튬', '음', '극', '집', '전체', '사용', '전북', '익산', '말레이시아', '위치', '공장', '제품', '생산', '삼성', 'LG', '화학', '고객', '사', '보유', '매출', '일렉포일', '기타 구', 'IT', 'I', 'Elecfoil', 'SDI']"
67,"['한국', '자동차보험', '공', '영사', '출발', '손해보험', '사', '공동', '출자', '한국', '자동차보험', '출범', '동부그룹', '경영', '인수', '손해보험', '사명', '변경', '업무', '효율', '전문', '제고', '자동차보험', '손해', '사정', '손해', '사정', '등', '자회사', '출범', '글로벌', '우량', '보험사', '발돋움', '미국', '해외', '거점', '시장', '집중', '공략', '중국', '인도네시아', '미얀마', '등지', '사무소', '개설', 'DB', 'DB', 'DBCAS', 'DBMnS']"
68,"['동사', '글로벌', '소재', '부품', '기업', '광학', '솔루션', '기판', '소재', '전장', '부품', '기타', '부문', '사업', '영위', '광학', '솔루션', '부문', '카메라', '모듈', '기판', '소재', '부문', '반도체', '기판', '전장', '부품', '부문', '모터', '센서', '차량', '통신', '등', '판매', '기타', '부문', '전자', '부품', '제품', '동사', '스마트폰', '카메라', '모듈', '디스플레이', '서브', '스트레이트', '포토', '마스크', '통신', '반도체', '기판', '세계', '시장', '리딩', 'Photomask', 'TapeS', 'ubstrate']"
69,"['주', '신세계', '인적', '분할', '설립', '연결', '대상', '종속', '기업', '주', '신세계조선호텔', '주', '신세계', '푸드', '주', '이마트 에브리데이', '주', '스타', '필드', '고양', '등', '보유', '반기', '기준', '신세계', '속', '계열', '회사', '보고서', '작성', '기준', '신세계그룹', '속', '계열', '회사', '상반기', '대형', '마트', '매출액', '증가', '채널', '간', '경쟁', '심화', '언', '택', '소비', '확산', '등', '영향', '국내외', '시장', '환경', '것', '예상']"
70,"['동사', '설립', '의약품', '화학', '약품', '공업', '약품', '수', '의약품', '생활', '용품', '등', '제조', '매매', '사업', '목적', '의약품', '사업', '부문', '품목', '아', '토르', '바', '로', '수', '등', '이외', '에이즈', '치료제', '형', '간염', '치료제', '항생제', '등', '수출', '사업', '생활', '용품', '사업', '부문', '품목', '유한', '락스', '칫솔', '치약', '유한', '젠', '주방', '세탁', '세제', '등', '생활', '용품', '제조', '판매', 'C']"
71,"['자회사', '설립', '동사', '차별', '부유', '고객', '기반', '업계', '최고', '자산', '관리', '역량', '인프라', '바탕', '고객', '니즈', '맞춤', '상품', '서비스', '선제', '제공', '홀', '세일', '부문', '사업', '역량', '강화', '수익원', '다변', '전사', '균형', '사업', '포트폴리오', '구축', '당', '반기', '말', '기준', '본점', '외국', '지점', '국내', '영업', '소', '해외', '사무소', '삼성', '선물', '해외', '법인', '등', '종속', '기업', 'IB']"
72,"['지주회사', '동사', '연결', '대상', '법인', '아모레퍼시픽', '화장품', '판매', '사업', '영위', '이니스프리', '에', '등', '프리미엄', '시장', '마몽드', '플라워', '스토리', '체험', '수', '플래그', '스토어', '오픈', '고객', '차별', '브랜드', '경험', '제공', '생활', '용품', '부문', '오랄', '카', '테', '고리', '자연주의', '탈', '브랜드', '레시', '출시', '고객', '저변', '확대']"
73,"['동사', 'LG', '인적', '분할', '설립', '지주회사', '자회사', '에너지', '리테일', '스포츠', '글로벌', '앤', '알', '사업', '부문', '유통', '무역', '가스', '전력', '사업', '투자', '기타', '호텔업', '프로', '축구', '등', '구분', '자회사', '리테일', '수퍼마켓', '등', '유통', '사업', '영위', '파', '르', '나스', '호텔', '지분', '취득', '관광호텔', '업', '영위', 'GS', 'GS', 'GS', 'GS', 'GS', 'GS', 'GS', 'GS', 'GS']"
74,"['동사', '설립', '이후', '여신', '전문', '금융업', '영위', '주력', '사업', '카드', '사업', '부문', '할부', '리스', '사업', '부문', '기타', '부문', '구성', '동사', '마케팅', '영업', '기획', '조직', '지역', '거점', '토대', '카드', '상품', '개발', '회원', '유치', '회원', '가맹점', '연계', '마케팅', '등', '영업', '활동', '수행', '동사', '신용카드', '개인', '법인', '회원', '가맹점', '기반', '차별', '마케팅', '창의', '상품', '서비스', '출시']"
75,"['천연가스', '도입', '판매', '기업', '해외', '천연가스', '생산지', '도입', '국내', '발전', '사', '도시가스', '사', '전국', '배관', '망', '탱크로리', '등', '공급', '쿠웨이트', '주', '르', '터미널', '보수', '매뉴얼', '작성', '사업', '시', '운전', '용역', '사업', '모잠비크', '공급', '사업', '참여', '등', '해외', '사업', '진출', '추진', '중', '대한', '해운', '해외', '합작', '법인', '설립', '해외', '벙커', '링', '사업', '수행', '예정', 'LNG', 'LNG', 'LNG']"
76,"['동사', '지주회사', '전환', '승인', '국내', '회사', '사업', '내용', '지배', '것', '사업', '회사', '헬스', '분야', '연구', '역량', '강화', '가치', '창출', '사회', '지주회사', '생물학', '의약품', '등', '제조', '수출', '판매업', '등', '사업', '영위', '동사', '한미약품', '온라인', '에르', '루스', '일본', '한미약품', '미', '유한', '공사', '자회사', 'Hanm', 'iEuropeLtd']"
77,"['동사', '설립', '유가증권', '시장', '상장', '동사', '사업', '내용', '라텍스', '과산화수소', '차', '아황산', '소다', '전자', '재료', '기타', '공', '약품', '등', '판매', '정밀화학', '산업', '각종', '첨가제', '제지', '약품', '수', '처리', '염료', '도료', '안료', '반도체', '약품', '계면활성제', '접착제', '화장품', '의약품', '등', '생산', '공업', '포괄', '화학', '산업', '가공', '산업', '특징', 'PAM', 'Precursor']"
78,"['동사', '설립', '시멘트', '사업', '석회', '석', '사업', '해운', '사업', '환경', '자원', '사업', '임대', '사업', '영위', '회사', '상장', '동사', '종속', '회사', '시멘트', '사업', '부문', '환경', '자원', '사업', '부문', '석회', '석', '사업', '부문', '해운', '사업', '부문', '레미콘', '사업', '부문', '골재', '사업', '부문', '임대', '사업', '부문', '등', '사업', '부문', '구분', '연안', '동해', '공장', '내륙', '영월', '공장', '동시', '보유', '전국', '시장', '유지', '지역', '수급', '상황', '탄력', '대응']"
79,"['설립', '동사', '자산', '규모', '이상', '법인', '규모', '법인', '해당', '연결', '실체', '기준', '건설기계', '생산', '판매', '영위', '제품', '혁신', '신흥', '시장', '진출', '등', '건설기계', '시장', '경쟁력', '건설기계', '주택', '건설', '농업', '조경', '시장', '타겟', '건설기계', '제품', '경기', '상대', 'R', 'D', 'PortablePower', 'Global', 'Compac', 't', 'Heavy']"
80,"['동사', '분할', '기준일', '대한항공', '인적', '분할', '방식', '설립', '유가증권', '시장', '주권', '상장', '글로벌', '항공', '화물', '시장', '항공', '화물', '수요', '대비', '공급', '부족', '상황', '지속', '동사', '수요', '강세', '시장', '대응', '공급', '확대', '수익', '극대', '주력함', '동사', '국내', '백신', '물량', '화이자', '시작', '백신', '수요', '국제', '표준', '안정', '수송']"
81,"['동사', '사업', '부문', '선박', '해양', '플랫폼', '등', '판매업', '영위', '조선', '해양', '부문', '건축', '토목', '공사', '영위', '사업', '부문', '구분', '코로나', '영향', '선종', '발주', '약세', '수주', '잔', '량', '전년', '대비', '감소', '흐름', '매출', '조선', '해양', '선', '대형', '컨테이너선', '등', '부문', '절대', '비중', '차지', '토목', '건축', '부문', '차지', 'E', 'I', 'LNH', 'FLNG']"
82,"['투자', '증권', 'NH농협증권', '합병', '탄생', '증권사', '투자', '매매', '투자', '중개', '집합', '투자', '신탁', '등', '사업', '영위', '부문', '경쟁력', '보유', '자산', '관리', '브로커', '리지', '등', '사업', '영역', '상위', '실적', '시현', '금융', '지주', '계열사', '시너지', '활용', '수', '강점', '보유', '당', '반기', '말', '본점', '포함', '국내', '지점', '국내', '영업', '소', '해외', '사무소', '운영', 'IB']"
83,"['설립', '인프라', '건축', '주택', '신축', '판매', '플랜트', '전력', '해외', '종합', '건설업', '등', '사업', '연결', '대상', '종속', '회사', '포함', '회사', '영위', '사업', '건설업', '부가', '통신업', '건설', '용역', '업', '서비스업', '임대업', '등', '국내', '건설', '시장', '성장', '한계', '극복', '도약', '제조업', '등', '건설', '사업', '성장', '동력', '발굴', 'SustainableGlobal', 'Company']"
84,"['설립', '한국거래소', '유가증권', '시장', '주식', '상장', '부문', '국내외', '면세', '사업장', '운영', '국내', '사업', '위상', '제고', '해외', '사업장', '안정', '운영', '세계', '면세점', '사업자', '등극', '호텔', '레저', '부문', '직영', '임차', '위탁', '운영', '방식', '호텔', '여행', '레포츠', '등', '레저', '사업', '프리미엄', '라이프', '스타일', '제공', '선도', '기업', '성장', 'TR', 'CFC']"
85,"['동사', '식품', '제조', '가공', '판매', '수입', '판매업', '등', '영위', '목적', '설립', '회사', '분할', '인해', '이름', '롯데', '칠성', '음료', '주', '롯데', '푸드', '주', '롯데', '쇼핑', '주', '등', '국내', '계열', '회사', '보유', '동사', '영업', '수익', '자회사', '기타', '투자', '회사', '배당', '수익', '상표', '사용', '수익', '임대', '수익', '등', '구성', '글로벌', '우량', '유통', '기업', '도약', '목표', '국내', '해외', '시장', '진출', '전개']"
86,"['전력', '통신', '전선', '케이블', '판매', '목적', '금성', '전공', '주', '사명', '설립', '차례', '상호', '변경', 'GS리테일', '상호', '속', '계열', '회사', '반기', '말', '국내', '계열', '회사', '존재', '상', '장사', '당사', '포함', '네트웍', '씨', '브이', '에스넷', '주', '합병', '물류', '센터', '운영', '체계', '고도', '수익', '모델', '다각', '등', '성장', '기대', 'GS']"
87,"['설립', '사업', '부문', '택배', '사업', '부문', '글로벌', '사업', '부문', '건설', '사업', '부문', '사업', '부문', '영위', '최근', '급성장', '시장', '대응', '독자', '융합', '대한통운', '풀', '필', '서비스', '개시', '매출', '구성은', '글로벌', '사업', '부문', '택배', '사업', '부문', '사업', '부문', '건설', '사업', '부문', '루', 'CL', 'CJ', 'e', 'CL']"
88,"['설립', '투자', '매매', '업', '투자', '중개업', '투자', '자문', '업', '투자', '임업', '집합', '투자', '업', '신탁업', '기업', '신용', '공여', '등', '업무', '영위', '메', '리츠', '금융', '그룹', '종합', '금융', '투자', '회사', '당', '기말', '지점', '포함', '운영', '종속', '회사', '메', '리츠', '피탈', '종합', '금융업', '종료', '사명', '메', '리츠', '증권', '주식회사', '변경', '규모', '유상증자', '실시']"
89,"['동사', '핵심', '사업', '발전', '연료전지', '사업', '발전', '연료전지', '기자재', '공급', '연료전지', '발전소', '장기', '유지', '보수', '서비스', '제공', '사업', '영위', '매출', '비중', '최근', '사업', '연도', '기준', '기자재', '공급', '장기', '유지', '보수', '서비스', '구성', '고객', '공공', '민간', '발전', '사업자', '임', '미래', '성장', '익산', '공장', '생산', '시설', '증설', '착수', '차세대', '시스템', '개발', '생산', '설비', '구축', '진행', 'PAFC', 'SOFC']"
90,"['의약품', '제조', '판매', '사업', '목적', '제품', '고혈압', '치료제', '아', '모', '디', '핀', '복합', '고혈압', '치료제', '아', '모자', '등', '원료', '의약품', '제조', '판매업', '영위', '미', '정밀화학', '의약품', '제조', '판매업', '영위', '업체', '북경', '한미약품', '유한', '공사', '자회사', '보유', '호', '중구', '감소', '증', '치료제', '롤로', '티스', '얀센', '기술이전', '한', '비만', '치료제', '치료제', '임상', '파이프라인', '경쟁력', '확보', 'HMNASH', 'HM']"
91,"['동사', '해운', '업', '곡물', '사업', '운항', '지원', '해운', '시장', '정보', '제공', '화물', '처리', '등', '해운', '업', '사업', '부문', '선박', '관리', '업', '수행', '기타', '사업', '부문', '영위', '벌', '물', '운송', '사업', '경험', '바탕', '세계', '화주', '신뢰', '구축', '등', '경쟁력', '선박', '운항', '화물', '운송', '서비스', '제공', '주', '매출처', '포스코', '한국중부발전', '한국남부발전', '한국남동발전', '현대', '제철', '등', 'Claim', 'VALE', 'SUZANOPAPELECELULOSE']"
92,"['동사', '특수', '화학제품', '생산', '업체', '설립', '상호', '동양', '제철', '화학', '변경', '동사', '사업', '부문', '베이직', '케미컬', '사업', '부문', '카본', '케미컬', '사업', '부문', '에너지', '솔루션', '사업', '부문', '기타', '사업', '부문', '바이오', '사업', '본부', '신설', '자체', '투자', '합작사', '신약', '개발', '원료', '물질', '확보', '라이선스', '인', '파이프라인', '개발', '등', '신규', '수익원', '발굴', '노력', '중임', 'OCI', 'M', 'A']"
93,"['동사', '주식회사', '효성', '영위', '사업', '중', '산업', '자재', '사업', '부문', '인적', '분할', '신설', '동사', '제품', '세계', '시장', '폴리에스터', '타이어', '코드', '원사', '원단', '자동차', '카페', '사업', '자동차', '시장', '성장', '동반', '성장', '예상', '동사', '타이어', '보강', '재', '각종', '산업', '원사', '상업', '자동차', '카페', '등', '종합', '제조', '수', '생산', '규모', '기술력', 'Seatbelt', 'Airbag']"
94,"['동사', '한국', '경비실', '업', '주식회사', '설립', '한국증권거래소', '주식', '상장', '동사', '종합', '안심', '솔루션', '회사', '보안', '시스템', '서비스', '건물', '관리', '서비스', '콜', '센터', '서비스', '텔', '레', '마케팅', '사업부', '구분', '연구개발', '전담', '부서', '센서', '컨트롤러', '지능', '영상', '감시', '시스템', '등', '자체', '개발', '중임', '레이더', '기반', '침입', '감지', '기술', '등', '보안', '분야', '첨단', '기술', '보유', 'UWB']"
95,"['동사', '혈액', '제제', '백신', '제제', '전문', '의약품', '제제', '등', '의약품', '제조', '판매', '약사', '설립', '유가증권', '시장', '상장', '동사', '사업', '품목', '혈액', '제제', '백신', '제제', '전문', '의약품', '일반의약품', '등', '종합', '구성', '거래처', '종합병원', '의원', '시약', '도매상', '약국', '적십자', '등', '동사', '핵심', '사업', '혈액', '제제', '백신', '제제', '유전자 재조합', '제제', '대형', '수출', '품목', '육성', '신규', '시장', '개척', '목표', 'OTC']"
96,"['동사', '군사', '장비', '제조', '판매', '방산', '부문', '아웃소싱', '등', '서비스', '판매', '부문', '사업', '영위', '핵심', '사업', '군', '위성', '통신', '체계', '전술', '정보통신', '체계', '대대', '급', '전투', '지휘', '체계', '개인', '전투', '체계', '한국', '형', '전투기', '사업', '참여', '대내외', '기업', '고객', '중단', '운영', '지원', '서버', '자원', '사이', '이징', '설치', '유지', '보수', '업그레이드', '패치', '백업', '복구', '지원', 'IT', 'ICT', 'TICN', 'B', 'KF', 'X', 'IT', 'H', 'W', 'S', 'W']"
97,"['동사', '국내', '최대', '건축', '자재', '산업', '영위', '목적', '금', '강스', '레트', '공업', '주식회사', '설립', '이후', '케이씨씨', '상호', '변경', '수익', '창출', '용역', '성격', '영업', '부문', '건', '자재', '도료', '실리콘', '기타', '부문', '구분', '건', '자재', '부문', '석고보드', '등', '도료', '부문', '박용', '자동차', '도료', '구분', '동사', '건축', '자재', '내장재', '보온', '단열재', '대부분', '품목', '동종', '업계', '선두', '위치', '확보', 'PVC']"
98,"['동사', '설립', '코스닥', '시장', '상장', '바', '이후', '상장폐지', '한', '후', '유가증권', '시장', '신규', '상장', '식품', '사업', '포장', '사업', '다', '류', '사업', '수출', '입', '구매', '대행업', '등', '사업', '영위', '원료', '재배', '생산', '출하', '정밀', '분석', '기기', '도입', '운영', '유해', '물질', '제품', '혼', '입', '원천', '예방', '관리']"
99,"['동사', '의약품', '제조', '목적', '설립', '유가증권', '시장', '상장', '동사', '목적', '사업', '완', '의약품', '원료', '의약품', '등', '제조', '판매', '동사', '경쟁력', '강화', '미래', '성장', '동력', '확보', '중장기', '글로벌', '신약', '개발', '연구', '과제', '수행', '자원', '확보', '단기', '개량', '신약', '퍼스트', '릭', '출시', '목표']"
100,"['동사', '종속', '회사', '항공기', '우주선', '위성체', '발사체', '부품', '설계', '제조', '판매', '정비', '등', '사업', '영위', '군', '수', '사업', '대부분', '내수', '구성', '수요자', '한국', '정부', '방위', '사업', '청', '계약', '제품', '군용기', '연구개발', '생산', '성능', '개량', '후속', '지원', '등', '수행', '항공', '산업', '군용기', '민항기', '헬기', '등', '항공기', '개발', '개발', '항공기', '양산', '항공기', '제조', '산업', '운영', '항공기', '정비', '개조', '담당', '산업', '구분', 'MRO']"
101,"['국내', '최초', '생명보험', '회사', '설립', '업', '력', '바탕', '브랜드', '인지도', '보유', '생명보험', '한화', '생명', '사명', '변경', '가치', '중심', '영업', '추진', '보장', '상품', '판매', '확대', '상품', '판매', '속성', '개선', '상품', '수익', '제고', '집중', '국내', '생명보험', '시장', '시장', '점유', '보유', '설계사', '조직', '중심', '보험', '영업', '구조', '인해', '영업', '기반', '안정', '우수']"
102,"['인적', '분할', '설립', '신설', '법인', '유가증권', '시장', '상장', '거래', '개시', '동사', '편의점', '체인', '사업', '영위', '당사', '종속', '회사', '물류', '사업', '식품', '제조', '유통', '등', '당사', '업무', '보조', '업무', '수행', '브랜드', '독립', '차별', '한국', '형', '편의점', '모델', '개발', '가맹점', '수익', '운영', '편리', '향상', '점포', '개발', '경쟁력']"
103,"['동사', '부산은행', '투자', '증권', '신용정보', '피탈', '공동', '주식', '포괄', '이전', '방식', '설립', '지방은행', '최초', '금융', '지주회사', '임', '경남은행', '계열사', '편입', '부산', '경남은행', '은행', '체제', '자산운용', '자산운용', '사', '명', '변경', '자회사', '편입', '은행', '증권', '자산운용', '여신', '전문', '저축', '은행업', '등', '포괄', '종합', '금융', '그룹', '벤처', '투자', '자회사', '편입', 'BNK', 'BNK', 'BNK', 'GS', 'BNK', 'BNK']"
104,"['동사', '한라홀딩스', '자동차', '부품', '제조', '판매업', '부문', '인적', '분할', '설립', '한국거래소', '유가증권', '시장', '주식', '상장', '동사', '자동차', '제동', '장치', '조향', '장치', '현가장치', '등', '생산', '자동차', '샤시', '부품', '문제', '조회', '사임', '매출처', '현대', '자동차', '기아', '자동차', '현대', '현대', '위', '아이', '매출액', '기준', '차지', '북미', '거점', '비중', '차지', 'OEM']"
105,"['지배', '회사', '동사', '백화점', '경영', '목적', '설립', '종속', '회사', '사업', '부문', '경영', '다각', '실태', '반영', '수', '백화점', '사업', '부문', '할인점', '사업', '부문', '전자제품', '전문점', '사업', '부문', '슈퍼', '사업', '부문', '홈쇼핑', '사업', '부문', '기타', '사업', '부문', '세분', '반기', '기준', '백화점', '부문', '할인점', '부문', '전자제품', '전문점', '부문', '차지']"
106,"['설립', '풍력', '발전', '설비', '제조', '관련', '기술', '개발', '강', '구조물', '제작', '설치', '풍력', '발전', '관련', '컨설팅', '지원', '서비스', '사업', '영위', '최근', '해상', '풍력', '주력', '시장', '경쟁력', '강화', '해상', '풍력', '타워', '하부', '구조물', '사업', '진출', '준비', '중임', '동사', '미국', '유럽', '호주', '시장', '폭발', '풍력', '타워', '수요', '대응', '설비', '투자', '인력', '채용', '생산', '능력', '증가']"
107,"['설립', '투자', '사업', '부문', '제조', '사업', '부문', '인적', '분할', '지주회사', '전환', '현재', '제일제당', 'CJ E&M', '등', '자회사', '지분', '보유', '계열사', '국내', '기준', '생활', '문화', '그룹', '지주회사', '동사', '식품', '식품', '서비스', '생명', '공학', '물류', '신', '유통', '엔터테인먼트', '미', '디어', '등', '주력', '사업', '군', '시너지', '인프라', '분야', '업무', '역량', '뒷받침', 'CJ', 'CJ']"
108,"['온라인', '주식', '위탁', '영업', '특화', '증권사', '시작', '투자', '자산운용', '저축', '은행', '피탈', '등', '종속', '회사', '동사', '우수', '시스템', '가격', '경쟁력', '기반', '브로커', '리지', '부문', '이후', '연속', '주식', '시장 점유율', '업계', '기록', '리테일', '부분', '강점', '바탕', '부문', '강화', '안정', '수익', '추구', '대형', '홀', '세일', '하우스', '구축', '추진', '등', '비즈니스', '포트폴리오', '다각', 'IB', 'PI']"
109,"['동사', '광고업', '등', '영위', '목적', '설립', '한국거래소', '상장', '광고', '주의', '니즈', '등', '최적', '마케팅', '솔루션', '제공', '글로벌', '톱', '수준', '통합', '마케팅', '솔루션', '광고', '회사', '경쟁', '경쟁', '우위', '확보', '전략', '구사', 'Strategy', 'Creative', 'Media', 'Digital', 'Experiential']"
110,"['대우', '무역', '부문', '인적', '분할', '설립', '포스코', '한국자산관리공사', '등', '지분', '취득', '최대주주', '포스코', '의', '철강', '등', '사업', '부문', '흡수', '합병', '철강', '가공', '사업', '물적', '분할', '수출입', '업', '중개업', '자원', '개발', '등', '사업', '영위', '철강', '비철금속', '화학제품', '자동차', '부품', '기계', '선박', '플랜트', '전기', '전자', '곡물', '원유', '등', '품목', 'P', 'S']"
111,"['동사', '도로', '철도', '등', '사회', '기반', '시설', '건설', '토목', '사업', '아파트', '등', '건설', '주택', '건축', '사업', '석유화학', '시설', '발전소', '건설', '플랜트', '사업', '영위', '세계', '최대', '수심', '최장', '국내', '최초', '침', '매', '터널', '공사', '거가대로', '국내', '최장', '터널', '인제터널', '성공리', '관통', '등', '첨단', '기술력', '입증', '시장', '선도', '부가가치', '창출', '안정', '수익', '발생', '공종', '추가', '발굴', '사업다각화', '미래', '먹거리', '확보', '노력', '중']"
112,"['설립', '한국거래소', '유가증권', '시장', '상장', '주', '사업', '부엌', '가구', '제조', '유통', '인테리어', '가구', '등', '유통업', '토탈', '홈', '인테리어', '패키지', '제공', '리', '모델링', '사업', '아이템', '사업', '영위', '부산', '광', '복점', '울산', '점', '신규', '오픈', '사업', '유통망', '확장', '등', '최근', '영업', '확대', '노력', '욕실', '창', '호', '마루', '등', '건재', '아이템', '확대', '사업', '영역', '확장']"
113,"['효성', '인적', '분할', '설립', '유가증권', '시장', '상장', '섬유', '무역', '사업', '영위', '섬유', '사업', '부문', '부가가치', '고기', '능성', '섬유', '소재', '스판덱스', '이론', '원사', '등', '생산', '사업', '부문', '철강', '화학', '분야', '중심', '물류', '유통', '등', '사업', '영역', '영위', '세계', '시장 점유율', '스판덱스', '부가가치', '제품', '판매', '확대', '동유럽', '시장', '개척', '글로벌', '시장', '지배력', '확대']"
114,"['동사', '현대', '자동차', '그룹', '속', '회사', '철도', '사업', '방산', '사업', '부문', '플랜트', '사업', '영위', '국내', '세계', '차종', '철도', '차량', '핵심', '장', '품', '공급', '신호', '통신', '등', '철도', '시스템', '분야', '사업', '영역', '확대', '방산', '부문', '장애물', '개척', '전차', '양산', '진행', '플랜트', '부문', '제철소', '수주', '경험', '바탕', '턴키', '공사', '진출', '준비', '중']"
115,"['동사', '대림산업', '주식회사', '영위', '사업', '중', '건설', '사업', '부문', '분할', '등기일', '기준', '인적', '분할', '유가증권', '시장', '상장', '동사', '포함', '연결', '대상', '종속', '기업', '건설', '오산', '랜드마크', '프로젝트', '해외', '현지', '법인', '동사', '역대', '최고', '분', '양가', '기록', '성수동', '아크', '서울', '포레스트', '성공', '분양', '당사', '사업', '수행', '역량', '바', 'DL', 'DL']"
116,"['동사', '중형', '선박', '건조', '부문', '세계', '수준', '업체', '성장', '지주회사', '한국', '조선', '해양', '주', '인프라', '시장', '변화', '지속', '대응', '석유화학', '제품', '운반선', '중형', '컨테이너', '운반선', '등', '중심', '시장', '지배력', '확대', '에틸렌', '운반선', '등', '고부', '특수', '선박', '시장', '성공', '진출', '환경', '규제', '강화', '대비', '친환경', '에너지', '효율', '디자인', '개발', '신규', '노', '후선', '대체', '수요', '창출', '판매', '전략', 'R', 'D', 'LPG']"
117,"['해상보험', '전업', '회사', '보험업', '진출', '해상', '화재', '자동차', '특종', '장기', '연금', '퇴직', '보험', '등', '손해보험', '업', '사업', '영위', '매출', '자산', '규모', '최상', '위치', '차지', '대형', '우량', '손해보험', '회사', '보험', '회사', '전문', '신용', '평가', '기관', 'Best', '의', '신용등급', '획득', '상반기', '시장', '점유', '국내', '손해보험', '업계', '시장', '지배력', '유지', 'A', 'M', 'A', 'Excellent']"
