,morph
14,"['동사', '설립', '게임 소프트웨어', '개발', '서비스', '사업', '영위', '모바일', '콘솔', '게임', '제작', '국내외', '퍼블리싱', '사업', '진행', '작성', '기준', '계열', '회사', '라', '이징', '윙스', '블루홀', '스튜디오', '드림', '모션', '레드', '사하라', '스튜디오', '비트윈', '어스', '등', '국내', '해외', '시장', '신규', '상장', 'PC', 'KOSPI']"
15,"['SK', '주', '투자', '사업', '부문', '영위', 'SK', '주', '석유', '화학', '윤활유', '제품', '생산', '판매', '등', '영위', '분할', '신설', '법인', '동사', '인적', '분할', '설립', '윤활유', '사업', '부문', '석유', '화학', '사업', '부문', '물적', '분할', '동', '일자', '기준일', '사명', 'SK', '에너지', '주', 'SK', '이노베이션', '주', '변경', '말', '회사', '전략', '판단', '사업', '매각', '완료', 'FCCL']"
16,"['동사', '설립', '삼성', '물산', '제일모직', '합병', '건설', '상사', '패션', '리조트', '급식', '식', '자재', '유통', '바이오', '산업', '성장', '매출', '비중', '상반기', '기준', '건설', '부문', '상사', '부문', '리조트', '부문', '급식', '식', '자재', '유통', '바이오', '부문', 'GlobalBus', 'iness', 'Partner', 'LifestyleI', 'nnovator']"
17,"['동사', '사업', '이동', '전화', '무선', '데이터', '정보통신', '사업', '등', '무선', '통신', '사업', '전화', '초고', '속', '인터넷', '데이터', '통신망', '임대', '서비스', '등', '포함', '유선', '통신', '사업', '플랫폼', '서비스', '인터넷', '포털', '서비스', '등', '기타', '사업', '구분', '시장 점유율', '무선', '통신', '사업', '제외', '약초', '고속', '인터넷', '부문', 'IPTV', '부문', '수준', '연결', '대상', '종속', '회사', 'SK', '텔', '링크', '등', '포함', '금년', '중', '지주회사', '존속', '회사', '분할', '예정', 'MVNO']"
18,"['동사', '주식회사', 'LG', '화학', '분할', '신설', '유가증권', '시장', '상장', '화장품', '생활', '용품', '음료', '등', '제조', '판매', '사업', '영위', '궁중', '브랜드', '후', '천연', '발효', '브랜드', '숨', '피부', '과학', '브랜드', '오', '휘', '허브', '브랜드', '빌', '리프', '경쟁력', '브랜드', '보유', '종속', '회사', '코카콜라', '음료', '주', '알콜', '음료', '제조', '판매', '사업']"
19,"['동사', '신한', '금융', '계열사', '지배', '경영', '관리', '종속', '회사', '자금지원', '등', '사업', '목적', '금융', '지주회사', '임', '사업', '부문', '은행업', '신용카드', '업', '금융', '투자', '업', '생명보험', '업', '자산운용', '업', '여신', '전문업', '저축', '은행업', '등', '신한은행', '외', '전반', '우수', '자회사', '사업', '지위', '토대', '균형', '사업', '포트폴리오', '기반', '안정', '이익', '창', '출력', '유지', '중', '오렌지', '라이프', '편입', '신한', '자산운용', '완전', '자회사', '화', '완료']"
20,"['동사', '종속', '기업', '사업', '부문', '솔루션', '솔루션', '등', '구분', '슬림', '월', '페이퍼', '롤', '러브', 'TV', '등', '지속', '혁신', '제품', '출시', '프리미엄', '시장', '지속', '선도', '디스플레이', '오디오', '내비게이션', '영역', '동사', '디스플레이', '소프트웨어', '역량', '활용', '제품 차별화', '중', 'HomeAppliance', 'A', 'ir', 'HomeE', 'ntertainment', 'MobileCommu', 'nications', 'Vehiclecomponent', 'OLEDTV']"
21,"['설립', '유가증권', '상장', '구', 'SK', '주식회사', '흡수', '합병', '사명', 'SK', 'C&C', 'SK', '주식회사', '변경', 'SK', '그룹', '지주', '사임', '사업', '별도', '재무제표', '기준', '자회사', '제반', '사업', '내용', '관리', '지주', '사업', '서비스', '등', '영위', '사업', '부문', '구분', '연결', '대상', '종속', '회사', 'SK', '이노베이션', 'SK', '텔레콤', 'SK', 'SK', 'SK', '바이오', 'SK', '등', '총', 'IT', 'SKC', 'E', 'S']"
22,"['동사', '에스케이', '케미', '칼', '주식회사', '사업', '부문', '물적', '분할', '설립', '백신', '바이오', '의약품', '연구개발', '생산', '판매', '관련', '지식', '재산권', '임대', '사업', '영위', '대상포진', '백신', '스카이', '조스', '터', '출시', '기준', '국내', '시장 점유율', '르', '확보', '생산', '판매', '네트워크', '시너지', '스카이', '셀프', '스카이', '셀프', '스카이', '조스', '터', '스카이', '바리', '셀라', '등', '상품', 'VAX', 'R', 'D']"
23,"['설립', 'LG', 'LG', '합병', '순수', '지주회사', '전환', '연결', '대상', '종속', '회사', '영위', '사업', '서비스업', 'LG CNS', '부동산', '경제', '경영', '교육', '자문', '업', 'LG', '경영', '개발원', '스포츠', 'LG', '스포츠', '부동산', '임대업', 'LG', '상사', 'LG', '하우시스', '실리콘웍스', 'LG MMA', '분할', '신설', '지주회사', '설립', 'CI', 'EI', 'IT', 'LX']"
24,"['동사', '설립', '유가증권', '시장', '상장', '지배', '회사', '한국전력공사', '영위', '사업', '전력', '자원', '개발', '발전', '송전', '변전', '배전', '관련', '영업', '연구', '기술', '개발', '투자', '출연', '보유', '부동산', '활용', '사업', '등', '연결', '대상', '종속', '회사', '영위', '사업', '원자력', '발전', '사업', '화력', '발전', '사업', '기타', '사업', '발전소', '설계', '등']"
25,"['설립', '업계', '최대', '전속', '설계사', '조직', '계', '리', '전문', '인력', '보유', '삼성', '그룹', '계열', '생명보험', '사', '사업', '영역', '보험', '대출', '퇴직', '연금', '펀드', '신탁', '부문', '압도', '브랜드', '파워', '안정', '영업', '기반', '바탕', '업계', '상위', '시장', '지위', '유지', '업계', '최대', '규모', '고객', '보유', '콜', '상담', '창구', '방', '전담', '서비스', '전문', '자회사', '운영', '연속', '유지', '등', '고객', '서비스', '경쟁력', '우위', '지속', 'NCSI']"
26,"['설립', '하나금융그룹', '지주회사', '자회사', '지배', '경영', '관리', '자금', '공여', '등', '업무', '수행', '종속', '회사', '사업', '분야', '은행', '하나은행', '등', '금융', '투자', '하나금융투자', '신용카드', '하나카드', '생명보험', '생명보험', '업', '등', '더', '케이', '손해보험', '자회사', '편입', '글로벌', '통합', '디지털', '자산', '플랫폼', '컨소시엄', '구축', '아시아', '국가', '제휴', '확대', 'GLN', 'GlobalLoyalty', 'Network']"
27,"['온라인', '모바일', '게임', '개발', '운영', 'PC 게임', '리니지', '리니지', '아이온', '블레이드', '앤', '소울', '모바일 게임', '리니지', '리니지', '블레이드', '앤', '소울', '등', '게임', '임', '리니지', '리니지', '국내', '구글 플레이', '매출', '유지', '최근', '경쟁', '작', '자리', '금융', '엔터테인먼트', '등', '사업', '분야', '다각', 'M', 'M']"
28,"['설립', '글로벌', '엔터테인먼트', '콘텐츠', '기업', '글로벌', '아티스트', '육성', '음악', '기반', '라이프', '스타일', '콘텐츠', '제작', '서비스', '쏘스뮤직', '플레디스', '엔터테인먼트', '등', '레이블', '지분', '인수', '멀티', '레이블', '체제', '구축', '소속', '아티스트', '방탄소년단', '투모로우', '바', '이', '투게더', '세븐틴', '뉴이스트', '여자친구', '등', '세븐틴', '뉴이스트', '아티스트', '포트폴리오', '추가', '멀티', '레이블', '체제', '구축함', 'MultiLabel']"
29,"['동사', '제조', '판매', '사업', '영위', '전', '기차', '배터리', '산업', '최대', '성장', '시장', '입지', '공고', '중국', '폴란드', '생산', '라인', '증설', '중임', '분리', '막', '전략', '관련', '동사', '이상', '분리', '막', '제조', '경험', '바탕', '세계', '배터리', '업체', '고객', '품질', '수요', '충족', 'LiBS', 'Lithium', 'ionBatt', 'ery', 'Separator', 'LiBS', 'EV']"
30,"['동사', '설립', '한국거래소', '주식', '상장', '공개', '법인', '임', '동사', '제공', '서비스', '비즈니스', '솔루션', '클라우드', '서비스', '구분', '동사', '삼성', '관계사', '대상', '생산', '관리', '시스템', '전사', '자원', '관리', '시스템', '등', '성공', '구축', '등', '삼성', '관계사', '서비스', '최적화', '지속', '지원', 'IT', 'ITO', 'MES', 'ERP', 'IT']"
31,"['척', '선박', '물류', '시설', '세계', '거미줄', '연결', '항로', '망', '해운', '업계', '선도', '시스템', '숙련', '해운', '전문', '인력', '바탕', '최고', '수송', '서비스', '제공', '기업', '동사', '각종', '수출입', '제품', '원유', '석탄', '철광석', '특수', '화물', '등', '국가', '전략', '물자', '수송', '국가', '경제', '대동맥', '역할', '수행', '다각', '사업', '영역', '영위', '특정', '분야', '시', '황', '변동', '안정', '수익', '창출', '수', '사업', '구조', '확보', 'IT']"
32,"['동사', '현대', '행', '설립', '중화학', '공업', '구조조정', '일환', '정부', '귀속', '한국중공업', '변경', '두산중공업', '상호', '변경', '발전', '설비', '담수', '설비', '단조', '품', '건설', '두산중공업', '건설', '중장비', '엔진', '두산인프라코어', '토목', '건축', '공사', '두산건설', '등', '사업', '영위', '중임', '프레스', '도입', '발전', '산업', '분야', '대형', '단조', '품', '시장', '공략', '가속', '계획']"
33,"['동사', '사업', '수동', '소자', '칩', '인덕터', '칩', '처항', '생산', '컴포넌트', '사업', '부문', '카메라', '모듈', '통신', '모듈', '생산', '모듈', '사업', '부문', '반도체', '패키지', '기판', '경연', '성', '인쇄', '회로', '기판', '생산', '기판', '사업', '부문', '구성', '수원', '세종', '시', '부산', '공장', '보유', '국내외', '자회사', '손', '자회사', '보유', '매출', '컴포넌트', '모듈', '기판', '구성', '삼성전자', '종속', '기업', '중국', '샤오미', '고객', '사임', 'MLCC']"
34,"['국내', '규모', '삼성', '계열', '손해보험', '사', '손해보험', '업', '과제', '핵심', '사업', '영위', '지점', '전속', '설계사', '판매', '조직', '보유', '전국', '판매망', '확보', '온라인', '자동차보험', '브랜드', '애니', '카', '다이렉', '온라인', '직파', '채널', '매출', '규모', '성장', '국내', '사업', '기반', '안정', '사업', '영위', '중국', '최대', '기업인', '텐센트', '협력', '중국', '법인', '온라인', '보험', '사업', '중심', '성장', '계획', 'IT']"
35,"['대한민국', '설립', '회사', '정유', '석유화학', '윤', '활기', '유', '등', '다각', '사업', '포트폴리오', '보유', '대', '규모', '정제', '시설', '고도', '설비', '수준', '안정', '내수', '유통망', '등', '바탕', '시장', '지위', '사업', '경쟁력', '보유', '수직', '계열', '생산', '체계', '기반', '우수', '생산', '효율', '사업', '안정', '바탕', '석유화학', '중심', '정유', '부문', '사업', '기반', '강화']"
36,"['동사', '사업', '이차', '전지', '소재', '첨단', '화학', '소재', '산업', '기초', '소재', '이차', '전지', '양극', '재', '음', '극', '재', '탄소', '소재', '원료', '제품', '내', '화물', '석회', '등', '제조', '판매', '포스코그룹', '계열', '소재', '전문', '회사', '유상증자', '규모', '투자', '재원', '확보', '이', '차', '전지', '소재', '분야', '포스코그룹', '리튬', '니켈', '등', '원료', '이차', '전지', '소재', '연구', '센터', '등', '인프라', '글로벌', '마케팅', '네트워크', '연계', '사업', '경쟁력', 'R', 'D']"
