,morph,,,,,,"바이오, 낸드플래쉬, "
51,"['계열사', '스', '마', '트홈', '영', '엘', '지', '헬리보', '진', '아인텔', '레', '미디어로', '종속', '별', '스마', '트홈', '기업인프라', '말기준', '초고속']",,,,,,
52,"['물류업', '판', '매업', '현대자동차', '회사임', '매출액', '물류업', '지속', '경영지수']",,,,,,
53,"['단일', '미', '주', '현지']",,,,,,
54,"['유일', '내국인', '가능', '품격', '하', '이', '원', '하늘길', '리', '하늘길']",,,,,,
55,"['공기', '전문기업', '공기', '전기레인', '말레', '이시아', '동종']",,,,,,
56,"['생명', '공학', '급화', '합리', '질', '극대']",,,,,,
57,"['종속', '당분기', '봉형강', '중기', '제품', '현대자동차', '공동', '연구', '개발', '하이스', '냉연', '특화', '전문', '변모함', '봉형', '강강관']",,,,,,
58,"['엔', '지니어링', '종속', '종속', '뉨', '달성']",,,,,,
59,"['투자업', '다양', '미래', '셋증권', '미래', '셋증권', '이버', '파이낸셜', '지분', '디지털금융비지니스']",,,,,,
60,"['한국거', '래', '소', '장', '합성고무', '수지', '정밀화학', '건자', '재', '운', '영', '합성고무산업', '천연', '유사', '합성고', '고무상', '가소', '주원료']",,,,,,
61,"['금형', '동', '사', '점시장', '지', '역본부', '어']",,,,,,
62,"['수', '처리', '바이오시장', '개', '발국가', '가능']",,,,,,
63,"['인적분할', '음식료품', '국', '내', '양', '지배력', '소매점', '채널망']",,,,,,
64,"['순수지주', '신속', '의사', '결정', '가능', '수입원']",,,,,,
65,"['자산', '저축', '벤처', '여신', '전', '문업', '헤', '지', '펀드', '한국투자', '저', '축은행', '한국투자캐피', '탈', '한국투', '자', '한국투자프', '라이빗에쿼티', '계열사', '한국카카오은행', '지분', '비은행', '지주', '회사']",,,,,,
66,"['스마', '트폰', '전자', '이온음', '극집', '일렉포일', '음극집', '삼', '성', '고객사', '일렉포일']",,,,,,
67,"['한국자동차', '공영사', '공동', '자', '동', '차보험', '동부그룹', '전문', '제고', '손해사정', '초우량']",,,,,,
68,"['광학솔루션', '기판', '기판', '기판', '전자', '요', '제품임', '동', '사', '스마트', '폰', '디스플레이용', '서', '브스트레이트', '포토마스크', '기판', '세계', '시장']",,,,,,
69,"['인적분할', '종속', '신세', '계조선호텔', '신세', '계푸드', '스타필드', '세계', '기준일', '신세계그', '룹', '대형마트', '매출액']",,,,,,
70,"['수의약품', '생활', '용품', '아토르바', '럽', '형간염', '생활', '용품', '유', '한락스', '유', '한', '생활', '용품']",,,,,,
71,"['적합', '홀세일', '강화', '수익원', '다변화', '전사', '삼성선물', '종속']",,,,,,
72,"['지주', '회사', '아모레퍼', '시픽', '이니스', '프', '리', '에스', '아', '프리', '미엄', '플', '라', '워', '플래그십', '생활', '용품', '오', '랄카테고리', '자연주의', '탈케어', '플레시아']",,,,,,
