,morph
17,"['x', 'x', '이동', 'x', '무선데이터', '정보', 'x', 'y', 'x', 'y', 'y', 'y', '고속인터넷', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'y', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', 'y', 'y', 'y', 'x', '약초', '고속', 'y', 'x', 'x', 'y', 'x', 'x', '연', 'x', '종속', 'x', '텔링크', 'y', 'x', '지주', 'y', 'x', 'y', 'x', 'x']"
18,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '생활', '용품', 'x', 'x', 'x', 'x', 'x', '궁중', 'x', 'x', '천연발효', 'y', 'x', 'x', 'x', 'y', '오', 'x', '허', '브', 'y', '빌리프', 'x', 'x', 'y', 'x', 'x', '종속', 'x', 'x', 'y', 'x', 'x', 'y', 'y', 'y', 'y']"
19,"['x', '신', '한', '금', '융', '계열사', 'x', 'x', 'x', '종속', 'x', '자금', '지원', 'x', 'x', 'x', 'x', '지주', '회사임', 'y', 'y', 'x', 'x', '신용', '카드업', 'y', '투자업', '생명', '보험업', '자산', '운용업', '여신', '전', '문업', 'x', 'y', 'x', 'x', '우수', 'x', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', '창출력', 'x', 'x', 'x', 'x', '신한', '자', '산', '운용', '완전자회사', '화완료']"
20,"['x', '종속', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', '월페이퍼', '롤러블', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', 'x', 'y', 'x']"
21,"['x', 'x', 'x', 'x', 'x', '주식', 'x', 'x', 'x', 'x', '주식', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '재무', '제표', 'x', 'x', 'x', 'y', 'x', 'x', 'y', 'y', 'x', 'x', 'y', 'x', 'x', 'x', 'x', '종속', 'y', 'x', 'x', '네트웍스', 'x', 'x', '팜', 'x']"
22,"['x', '에스케이케미', '칼', 'x', 'x', 'x', '물적분할', 'x', 'x', '바이오의약품', '연구', '개발', 'x', 'x', 'x', 'x', '재산', 'x', 'x', 'y', 'x', '대상', '포진백신', '스', '카이', '조스터', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', '스', '카이', '셀플루', '스', '카', '이셀플루', '스카이조스터', '스', '카이바리셀라', 'x']"
23,"['x', 'x', '순수지주', '회사', 'x', 'x', '종속', '회사', 'x', 'x', '서비스', 'x', 'x', 'x', 'x', '에스앤아', '이', '경제', '경영', 'x', '자문업', '경영', '개발원', 'x', 'y', 'y', 'x', 'y', 'x', '하우', 'x', '실리', '콘웍', '스', 'x', 'x', '지주', '회사', 'x', 'y']"
24,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '한국전력공', '사', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', '종속', 'y', 'y', 'y', '원자력', 'y', 'y', '화력', 'y', 'y', 'x', 'y', 'x', 'x']"
25,"['x', 'x', 'x', 'x', '설계사', 'x', 'x', 'x', 'x', 'x', '삼성그룹', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '최상위', 'x', 'x', 'x', 'y', 'y', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'y', 'y', 'y', 'x', 'x', 'x', '킴']"
26,"['x', '나금융그', '룹', '지주', 'x', 'x', 'x', 'x', 'x', 'x', '공여', 'x', 'x', '종속', 'y', 'x', 'x', 'x', 'x', 'x', '투자', '하', 'y', '투자', '신용', '카드', '나', '카드', '생명', 'x', '생명', 'y', 'x', '손해보험', 'y', 'x', 'x', '통합디지털', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x']"
27,"['x', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', '블레이', '드앤소울', 'y', 'y', 'y', 'y', 'x', '요', '게임임', 'y', '리', 'x', 'x', 'x', 'x', 'x', 'x', '경쟁작', 'x', 'x', 'x', 'x', 'x', 'x']"
28,"['x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', '쏘스', '뮤직', 'x', 'y', 'x', '지분', 'x', '멀티레이블', 'x', 'x', 'x', 'y', '방탄', '소년단', '투모', '로우', '바이투게', '세븐틴', '뉴이', '스트', '여자', '친구', '세븐틴', '뉴이스', '트', 'y', 'x', 'x', 'x', '멀티레이블', 'y', 'y']"
29,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '성장', '시장', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '분리막', 'x', 'x', 'y', 'x', '분리막', 'y', 'x', 'x', 'x', '다양', 'y', 'x', 'x', 'x', 'x', 'x']"
